articleID;reviewerID
83;7432917|7432909|7432949
84;7433034|7433104|7433047
85;7433000|7432910|7433070
86;7432995|7433058|7432906
87;7432931|7432887|7432965
88;7432974|7433071|7432867
89;7433083|7432947|7433064
90;7433112|7433000|7433085
91;7432886|7432884|7432913
92;7432884|7433047|7432953
93;7433001|7433029|7432943
94;7433094|7432961|7433053
95;7432972|7432913|7433106
96;7432879|7432972|7432918
97;7432904|7432949|7432900
98;7432903|7432865|7433056
99;7432926|7432947|7433039
100;7432999|7433003|7433043
101;7433052|7432938|7433099
102;7433097|7433033|7432996
103;7432866|7433056|7433045
104;7433038|7433011|7433045
105;7432869|7433091|7432988
106;7432931|7433038|7433084
107;7433058|7433041|7432944
108;7433041|7433090|7433000
109;7433079|7432995|7432931
110;7433069|7433072|7433109
111;7432986|7432974|7433034
112;7432884|7432879|7433081
113;7432988|7432912|7432910
114;7433051|7433107|7432959
115;7433003|7432957|7433104
116;7433006|7433072|7433097
117;7432977|7433098|7432934
118;7432937|7432970|7432984
119;7432929|7433104|7432978
120;7432895|7432953|7432954
121;7433079|7432961|7433014
122;7432929|7432912|7433036
123;7433057|7433017|7432996
124;7433036|7433100|7432885
125;7433021|7432865|7433093
126;7433041|7432932|7432914
127;7433062|7433058|7432922
128;7433099|7432928|7432905
129;7433049|7432902|7432940
130;7433016|7432901|7433056
131;7432897|7432937|7432956
132;7432938|7433061|7432880
133;7433003|7432966|7432904
134;7433034|7433073|7433022
135;7432968|7433094|7433029
136;7433108|7433014|7432897
137;7433020|7432892|7432986
138;7433004|7432962|7432951
139;7432874|7432947|7432888
140;7432988|7432894|7433063
141;7432885|7433091|7433050
142;7432877|7433015|7433086
143;7433088|7433077|7432910
144;7432870|7433031|7433049
145;7433041|7433045|7433064
146;7432872|7432896|7433049
147;7433007|7433023|7433050
148;7433086|7432943|7433091
149;7432904|7433031|7432970
150;7433093|7432959|7432933
151;7432957|7433076|7432901
152;7432992|7433035|7432899
153;7433080|7432898|7432941
154;7432883|7432993|7432991
155;7433037|7433045|7433092
156;7432875|7432949|7432905
157;7433077|7432880|7432873
158;7433105|7433079|7432920
159;7432877|7432883|7432931
160;7433046|7432887|7432996
161;7433060|7432865|7432934
162;7432982|7432889|7432972
163;7432926|7432936|7433061
164;7433043|7433039|7432905
165;7433049|7433027|7432883
166;7433113|7433002|7432876
167;7433030|7433079|7433064
168;7433026|7432992|7433020
169;7432975|7432880|7432910
170;7433112|7433106|7432923
171;7433045|7433063|7433086
172;7432936|7433066|7432949
173;7433093|7432980|7433086
174;7432896|7432910|7433082
175;7432875|7432987|7432943
176;7433087|7432907|7433104
177;7432938|7433026|7432932
178;7432952|7432878|7433063
179;7432874|7433074|7432866
180;7433042|7432914|7433031
181;7433045|7433050|7432961
182;7432962|7433025|7433024
183;7433054|7433008|7432944
184;7433057|7432944|7432929
185;7432885|7433032|7432958
186;7432889|7432909|7432957
187;7432951|7432963|7432946
188;7433056|7432992|7432902
189;7432997|7433068|7433075
190;7432974|7432969|7432884
191;7432867|7432874|7432966
192;7433028|7432876|7433073
193;7433026|7432947|7433058
194;7433044|7433053|7433070
195;7432899|7433044|7433042
196;7432984|7432922|7433088
197;7432926|7432888|7432907
198;7433046|7432995|7432883
199;7432919|7433102|7433092
200;7433052|7432940|7433030
201;7433088|7433050|7432869
202;7432989|7433098|7432980
203;7432948|7432920|7432972
204;7432985|7432887|7433062
205;7433004|7432966|7433111
206;7433097|7433026|7432976
207;7432943|7432877|7433060
208;7433048|7433077|7433001
209;7433089|7433001|7433017
210;7433060|7432921|7432951
211;7432981|7433016|7433011
212;7433109|7433011|7432908
213;7432922|7432982|7432904
214;7432921|7433083|7433064
215;7433093|7433057|7432873
216;7432971|7432987|7432935
217;7432968|7433072|7433043
218;7433030|7433107|7432895
219;7432976|7432923|7432903
220;7433077|7432974|7433103
221;7432915|7432883|7432923
222;7433021|7433045|7432994
223;7433104|7432946|7432939
224;7432976|7432990|7433083
225;7433075|7433108|7433034
226;7432958|7432947|7433029
227;7433040|7432918|7432896
228;7433043|7433025|7432910
229;7433023|7432931|7432986
230;7432898|7433036|7433061
231;7433071|7432941|7432959
232;7432944|7432991|7432891
233;7432995|7433071|7433054
234;7433013|7433089|7432953
235;7432886|7432901|7433044
236;7432932|7432985|7432879
237;7432869|7432894|7433004
238;7433011|7432925|7432969
239;7433072|7433098|7432906
240;7433066|7433085|7433040
241;7433008|7433108|7433084
242;7432987|7433015|7433032
243;7432999|7432914|7433108
244;7433023|7432875|7433042
245;7432879|7432961|7433015
246;7433052|7432881|7432949
247;7432869|7432896|7433033
248;7433074|7432965|7433002
249;7433103|7432880|7432964
250;7432957|7432916|7433046
251;7432983|7432984|7432865
252;7432892|7433096|7432873
253;7433057|7433040|7433004
254;7432931|7432921|7433100
255;7432891|7433078|7433026
256;7432956|7433074|7432929
257;7433061|7432877|7432869
258;7433110|7432979|7432890
259;7433050|7432959|7432901
260;7432980|7432941|7432991
261;7432915|7432907|7433001
262;7432943|7433014|7432968
263;7432903|7433097|7432948
264;7432939|7432903|7432959
265;7432970|7433109|7432960
266;7433016|7433010|7432964
267;7432999|7433076|7433083
268;7432983|7432884|7432886
269;7432933|7432900|7433024
270;7432867|7433008|7433073
271;7433082|7433015|7432983
272;7432942|7432907|7433035
273;7433022|7433058|7432995
274;7432882|7433090|7432942
275;7432997|7432961|7433003
276;7432868|7433098|7433049
277;7432979|7432991|7433025
278;7432877|7433036|7432998
279;7432875|7433000|7433078
280;7433023|7432983|7432888
281;7433091|7433001|7432868
282;7433017|7432918|7433083
283;7433070|7432919|7432901
284;7432906|7433039|7432960
285;7433093|7433102|7433107
286;7432926|7433030|7432877
287;7433108|7432957|7432997
288;7432873|7433016|7432892
289;7432888|7432877|7432883
290;7432930|7433019|7432870
291;7432910|7432945|7432901
292;7432970|7433088|7432918
293;7432884|7433086|7432973
294;7433106|7433011|7432908
295;7432974|7433040|7432909
296;7433088|7432940|7433105
297;7433075|7432882|7432881
298;7433027|7432979|7433077
299;7433011|7433100|7432983
300;7432865|7432897|7432964
301;7433101|7432976|7432935
302;7433046|7432981|7432983
303;7433095|7432969|7433043
304;7433032|7433072|7432875
305;7432955|7433001|7432883
306;7432974|7432951|7432894
307;7433054|7433007|7433097
308;7433007|7432937|7432977
309;7432894|7432945|7432873
310;7432921|7432901|7432959
311;7432872|7432910|7433054
312;7432921|7433078|7432923
313;7433075|7433034|7432918
314;7433085|7432974|7433021
315;7432929|7433090|7433053
316;7433018|7433039|7433002
317;7432947|7433056|7432940
318;7432895|7432888|7432916
319;7432965|7432975|7432924
320;7432954|7432916|7433067
321;7433080|7432991|7433028
322;7432902|7432883|7433032
323;7433056|7432965|7432901
324;7432876|7432920|7432935
325;7432923|7432994|7432888
326;7433080|7432876|7432938
327;7433077|7432938|7433006
328;7432904|7433033|7433078
329;7433036|7433092|7433070
330;7432886|7432936|7432925
331;7432866|7432978|7432990
332;7432919|7432930|7433057
333;7433073|7432903|7432950
334;7432895|7433028|7433073
335;7433027|7432956|7433070
336;7432950|7432910|7432967
337;7433055|7432975|7432957
338;7432991|7432957|7433031
339;7432887|7432866|7432975
340;7433001|7432943|7432971
341;7432976|7433068|7433022
342;7433094|7432961|7432924
343;7432866|7433113|7432960
344;7433031|7432920|7433034
345;7432984|7432880|7432975
346;7432959|7433005|7433102
347;7432904|7432987|7433015
348;7432892|7432938|7432979
349;7433062|7432936|7433050
350;7433020|7433055|7432973
351;7433027|7432867|7433099
352;7432936|7432949|7433052
353;7433017|7433085|7433057
354;7433013|7432915|7432977
355;7433025|7432903|7432885
356;7432888|7432997|7432998
357;7433102|7433076|7433072
358;7432885|7432868|7433105
359;7433088|7432881|7432902
360;7432876|7432929|7432878
361;7432977|7433012|7432924
362;7432910|7432872|7433090
363;7432948|7433100|7432991
364;7433086|7432888|7432967
365;7433102|7432998|7433057
366;7432973|7432951|7432991
367;7433069|7433103|7433022
368;7433024|7432917|7433036
369;7433043|7432911|7433066
370;7432872|7433025|7433038
371;7432904|7433006|7433024
372;7433027|7432886|7433016
373;7433054|7433003|7433083
374;7433045|7432951|7432962
375;7433097|7433021|7432866
376;7432892|7433113|7433083
377;7432980|7433112|7432866
378;7432991|7433020|7432918
379;7432963|7432875|7432912
380;7432967|7432951|7432958
381;7433109|7433015|7432908
382;7432974|7432998|7432922
383;7432898|7432967|7432929
384;7433077|7433010|7433046
385;7433084|7433101|7433060
386;7433081|7432976|7433006
387;7432979|7433085|7433018
388;7433008|7432947|7433016
389;7432978|7433061|7433006
390;7433079|7433015|7432918
391;7432902|7432922|7432987
392;7433088|7432948|7433002
393;7432911|7433111|7432952
394;7432964|7432868|7432919
395;7432957|7432911|7432972
396;7433004|7433041|7433082
397;7432915|7433071|7433112
398;7433023|7432934|7432974
399;7432867|7433108|7432930
400;7433001|7433049|7432868
401;7432983|7432877|7432993
402;7433058|7433016|7432988
403;7433094|7432947|7433037
404;7432870|7432884|7433071
405;7433069|7433024|7432917
406;7432944|7433097|7432966
407;7433021|7432976|7432945
408;7432976|7433104|7432999
409;7432865|7432923|7433104
410;7433077|7432951|7432967
411;7432907|7432959|7433055
412;7433035|7432995|7432949
413;7433000|7432895|7432911
414;7433087|7432917|7432873
415;7432972|7433107|7432895
416;7433018|7432952|7433071
417;7432983|7433040|7432933
418;7432930|7432919|7432869
419;7433095|7432876|7432902
420;7432968|7432990|7432954
421;7432889|7432958|7432961
422;7433087|7432978|7432932
423;7433003|7433007|7433112
424;7433064|7432909|7432883
425;7433053|7432991|7432961
426;7433093|7432893|7433071
427;7433105|7433062|7432905
428;7432997|7432890|7432955
429;7433107|7432904|7432902
430;7433098|7432978|7433064
431;7433019|7432883|7432986
432;7432870|7432923|7433039
433;7432890|7433016|7433067
434;7432904|7433050|7432991
435;7432936|7433009|7432904
436;7432938|7432989|7433076
437;7432883|7433095|7432983
438;7432942|7433045|7432975
439;7432896|7433002|7433006
440;7433080|7432975|7433040
441;7432940|7432976|7433047
442;7433097|7433068|7433031
443;7432929|7433059|7432896
444;7432932|7433101|7432870
445;7433060|7432886|7433074
446;7433050|7432916|7433077
447;7433080|7433107|7433056
448;7432866|7433087|7432944
449;7432981|7433046|7432887
450;7432993|7433025|7433031
451;7432978|7433036|7432941
452;7432951|7433107|7432874
453;7432943|7432954|7433031
454;7432977|7433059|7433005
455;7432906|7433112|7432982
456;7432882|7433112|7432871
457;7432920|7433039|7433078
458;7432917|7432942|7433077
459;7432990|7432937|7432980
460;7433017|7433051|7433107
462;7433109|7432871|7433096
463;7433009|7432890|7433078
464;7432890|7432916|7433054
465;7433046|7433072|7433055
466;7432940|7433112|7432903
467;7433011|7433027|7433031
468;7432906|7432989|7432993
469;7433025|7432880|7433002
470;7432987|7432937|7433022
471;7432938|7432917|7432901
472;7433047|7433107|7433008
473;7432987|7433069|7433015
474;7432961|7433090|7432875
475;7432978|7432954|7432888
476;7433106|7433004|7432871
477;7432904|7432931|7433083
478;7432992|7433066|7432991
479;7432919|7432926|7432924
480;7433009|7432933|7433111
481;7432994|7432924|7433036
482;7432903|7432967|7432940
483;7433027|7432944|7433068
484;7432894|7432968|7433000
485;7433000|7433016|7432934
486;7433075|7433033|7432899
487;7432934|7432950|7432924
488;7433082|7433061|7433003
489;7432966|7433055|7433093
490;7433053|7433098|7432883
491;7433069|7433006|7432942
492;7433112|7432891|7433087
493;7433000|7433075|7433032
494;7432987|7432930|7432971
495;7433064|7433079|7432993
496;7433040|7433099|7433016
497;7432942|7433103|7433051
498;7432922|7432952|7433019
499;7433028|7432996|7432909
500;7432956|7432865|7432972
501;7432935|7432933|7432932
502;7432913|7433058|7433089
503;7433091|7432958|7432950
504;7432912|7433102|7432990
505;7432967|7433105|7433036
506;7432894|7433102|7432968
507;7432999|7432992|7432898
508;7432873|7432999|7432996
509;7433052|7433091|7432931
510;7433015|7432949|7432888
511;7432955|7432901|7432900
512;7432920|7433098|7432972
513;7432928|7433108|7433019
514;7432905|7432890|7432991
515;7433028|7433016|7433105
516;7432888|7432897|7432893
517;7433109|7433089|7432971
518;7432885|7433051|7432867
519;7432947|7432891|7433055
520;7433018|7432991|7432947
521;7432925|7433017|7432935
522;7433014|7433090|7433088
523;7433004|7433053|7432944
524;7432925|7433069|7432915
525;7432962|7433094|7432942
526;7432992|7433075|7433086
527;7432986|7433048|7432972
528;7433053|7432919|7432963
529;7433026|7432969|7432961
530;7433034|7432911|7433026
531;7432933|7432935|7433013
532;7433011|7432885|7433014
533;7432967|7433024|7433048
534;7433053|7433078|7433041
535;7433051|7432911|7433003
536;7432908|7433113|7432928
537;7433039|7433088|7433057
538;7432890|7432865|7433018
539;7433044|7433018|7433105
540;7432895|7433088|7433034
541;7433025|7433082|7432938
542;7432887|7433073|7432931
543;7433105|7432969|7432935
544;7433074|7433027|7433110
545;7432918|7432926|7433019
546;7433022|7432988|7433058
547;7432999|7433056|7432976
548;7432988|7433095|7433035
549;7433006|7432881|7432968
550;7433071|7432924|7432919
551;7432957|7432875|7432956
552;7432921|7433079|7433064
553;7433091|7433034|7432947
554;7432888|7433032|7432874
570;7432903|7433079|7433052
573;7432899|7433109|7432989
574;7432873|7433022|7432979
575;7433111|7432911|7433061
576;7433048|7433025|7432892
577;7433092|7432981|7432955
579;7433002|7432933|7432930
580;7432908|7433038|7433005
581;7432946|7433074|7433039
583;7433003|7432991|7432866
584;7433109|7432998|7433016
585;7433021|7433077|7433070
27893;7432882|7433058|7432972
27894;7432959|7433112|7433104
27895;7433079|7432926|7432889
27896;7432927|7433018|7432875
27897;7432985|7432974|7432920
27898;7432905|7433037|7433077
27899;7433055|7432999|7433082
27900;7432994|7433056|7433090
27901;7433080|7433025|7433046
27902;7432898|7433093|7432880
27903;7433046|7432994|7432961
27904;7433041|7432972|7432875
27905;7432953|7433096|7432869
27906;7433082|7433100|7432988
27907;7432866|7432947|7432909
27908;7433009|7432991|7432978
27909;7432986|7432882|7433018
27910;7433067|7433072|7433073
27911;7433065|7432919|7433106
27912;7433030|7433006|7432965
27913;7433084|7432901|7433071
27914;7432974|7432986|7433024
27915;7432868|7433013|7432947
27916;7432965|7432875|7433084
27917;7432948|7432970|7432984
27918;7432905|7433014|7433038
27919;7432922|7432929|7433026
27920;7432951|7433058|7433083
27921;7433077|7433020|7433061
27922;7433031|7432949|7432928
27923;7432971|7433037|7433004
27924;7432958|7432996|7433039
27925;7432881|7433074|7433017
27926;7433069|7433002|7432990
27927;7433028|7433097|7433071
27928;7433028|7432977|7433032
27929;7432879|7432970|7432896
27930;7432949|7432901|7433027
27931;7432982|7432965|7433001
27932;7433069|7432922|7432979
27933;7432904|7432992|7432888
27934;7433085|7433067|7432940
27935;7433001|7433039|7432916
27936;7433001|7432877|7432901
27937;7432986|7433088|7433060
27938;7432898|7432952|7433012
27939;7433107|7432994|7433088
27940;7432995|7432900|7432980
27941;7432914|7432869|7433094
27942;7433020|7433110|7432974
27943;7433090|7432932|7433031
27944;7433107|7432958|7432942
27945;7432987|7433024|7433082
27946;7433100|7432976|7433063
27947;7432985|7432988|7433022
27948;7433070|7432999|7433032
27949;7433051|7432994|7432904
27950;7433006|7432970|7433070
27951;7433081|7432866|7432923
27952;7432993|7432961|7433064
27953;7433079|7433045|7433039
27954;7432896|7433001|7433010
27955;7432916|7432911|7432977
27956;7433099|7432997|7432986
27957;7433005|7433019|7433103
27958;7432925|7433054|7433065
27959;7432896|7433010|7433000
27960;7432904|7432945|7432932
27961;7433015|7433070|7432889
27962;7432951|7433092|7432882
27963;7433001|7433003|7432948
27964;7432948|7433104|7432935
27965;7432900|7433092|7433063
27966;7433089|7432902|7432959
27967;7432966|7433047|7433071
27968;7432935|7432885|7432866
27969;7433065|7432952|7432884
27970;7433060|7432938|7433004
27971;7432889|7432973|7433082
27972;7433053|7433054|7432909
27973;7432876|7432956|7432865
27974;7433106|7433008|7432953
27975;7433102|7433019|7433111
27976;7432870|7432912|7432974
27977;7432929|7433096|7432976
27978;7433094|7433091|7432903
27979;7433057|7433055|7432919
27980;7432953|7432865|7432892
27981;7432935|7433045|7432876
27982;7432978|7433003|7432971
27983;7432957|7432894|7432998
27984;7432977|7432873|7432997
27985;7433032|7433074|7432963
27986;7432893|7433060|7432955
27987;7432938|7432873|7433055
27988;7433059|7433029|7432906
27989;7432969|7433020|7432936
27990;7433029|7432989|7432907
27991;7432885|7432912|7433076
27992;7433075|7433113|7433052
27993;7433015|7432987|7433108
27994;7433050|7432946|7433078
27995;7432899|7432981|7432951
27996;7433093|7433062|7432904
27997;7432883|7433002|7432870
27998;7433068|7433111|7433076
27999;7432894|7432897|7432899
28000;7432949|7432899|7433006
28001;7432920|7433097|7433046
28002;7432893|7432952|7433089
28003;7432909|7433032|7433066
28004;7433066|7432966|7433042
28005;7432990|7433065|7433089
28006;7432886|7432891|7433012
28007;7432919|7433062|7432874
28008;7432905|7432925|7433096
28009;7433053|7432871|7432877
28010;7432899|7433023|7433008
28011;7433007|7433080|7433056
28012;7433099|7432894|7432982
28013;7432932|7433062|7432968
28014;7432992|7432969|7433100
28015;7432898|7433026|7432870
28016;7433089|7432914|7432887
28017;7432977|7432904|7433063
28018;7432969|7433047|7433001
28019;7433019|7433077|7433094
28020;7432873|7433082|7433040
28021;7433003|7433074|7433064
28022;7432878|7433088|7432917
28023;7432888|7433072|7432987
28024;7433077|7432988|7432929
28025;7433064|7432912|7432992
28026;7433069|7433030|7433083
28027;7432895|7432959|7433068
28028;7432977|7432951|7433047
28029;7433093|7433033|7433066
28030;7432946|7432936|7432968
28031;7432906|7432910|7433011
28032;7433021|7432947|7432967
28033;7433087|7433110|7432872
28034;7432872|7432950|7433082
28035;7432932|7433054|7432937
28036;7433017|7433025|7433036
28037;7433070|7432918|7432885
28038;7432963|7432973|7433052
28039;7433096|7433042|7432935
28040;7432899|7432925|7432944
28041;7433009|7432888|7433092
28042;7432904|7432942|7432945
28043;7432965|7433094|7433020
28044;7432946|7432924|7433024
28045;7432956|7433068|7432946
28046;7432869|7432878|7432882
28047;7432982|7432873|7432965
28048;7433041|7432990|7432981
28049;7433036|7433073|7433014
28050;7432896|7432990|7432938
28051;7432883|7432928|7433031
28052;7433113|7432992|7432921
28053;7433054|7432918|7433086
28054;7432927|7433107|7433068
28055;7432928|7433046|7432934
28056;7432956|7433058|7432940
28057;7432943|7432986|7433076
28058;7433086|7432945|7433065
28059;7432914|7433079|7433054
28060;7432945|7433079|7432979
28061;7432967|7433062|7433022
28062;7433074|7433106|7432865
28063;7433079|7433039|7432980
28064;7432900|7432946|7432891
28065;7432953|7433108|7433006
28066;7433072|7432879|7433105
28067;7432956|7433052|7433103
28068;7432971|7433029|7432946
28069;7432892|7432943|7433017
28070;7432909|7432975|7432980
28071;7432929|7433094|7432927
28072;7433021|7433074|7433070
28073;7433005|7432917|7433065
28074;7433050|7432939|7432897
28075;7433027|7432886|7432954
28076;7432972|7432899|7432881
28077;7432933|7433073|7432876
28078;7432959|7433084|7432975
28079;7432999|7433053|7432883
28080;7432933|7433023|7432991
28081;7433088|7433025|7432915
28082;7432945|7433057|7433019
28083;7432889|7432984|7433006
28084;7433034|7433069|7432901
28085;7432935|7432981|7433030
28086;7433068|7432905|7433002
28087;7433038|7432874|7432890
28088;7433104|7432912|7432866
28089;7432920|7433085|7432879
28090;7432904|7432985|7432998
28091;7433111|7433083|7433011
28092;7432958|7432936|7433096
28093;7432951|7432912|7432964
28094;7433064|7432960|7432992
28095;7432901|7433009|7432957
28096;7432952|7433105|7433084
28097;7432879|7433047|7433025
28098;7432913|7432964|7433002
28099;7432970|7433110|7432991
28100;7432907|7432870|7432959
28101;7433050|7433057|7432870
28102;7432932|7433106|7432970
28103;7433010|7432978|7433060
28104;7433057|7432920|7433043
28105;7432937|7433113|7433016
28106;7433112|7433037|7432974
28107;7433040|7433039|7433059
28108;7432984|7432949|7433024
28109;7432967|7432979|7433038
28110;7432996|7433063|7432955
28111;7433049|7432910|7433035
28112;7432885|7432958|7432909
28113;7433088|7432892|7432950
28114;7432889|7432879|7433102
28115;7433076|7433061|7433021
28116;7432970|7432942|7433102
28117;7433010|7433039|7432981
28118;7433031|7432953|7432872
28119;7433036|7432949|7433003
28120;7432907|7433032|7432938
28121;7432866|7433009|7432975
28122;7432878|7432883|7432882
28123;7433098|7433063|7433076
28124;7433050|7432963|7433014
28125;7432890|7433112|7433010
28126;7433066|7432960|7433017
28127;7433087|7433109|7432866
28128;7432880|7433086|7432957
28129;7433009|7433068|7433046
28130;7432940|7432977|7433093
28131;7433106|7433007|7433027
28132;7433012|7432993|7432909
28133;7432868|7432960|7432944
28134;7432927|7433060|7432973
28135;7432969|7432869|7432922
28136;7432880|7433096|7432924
28137;7433039|7432938|7432936
28138;7432889|7433013|7432906
28139;7432878|7432928|7432953
28140;7432976|7432983|7432888
28141;7432976|7433065|7433068
28142;7433058|7432912|7432974
28143;7432952|7433082|7432985
28144;7433087|7432936|7432873
28145;7432907|7433091|7432948
28146;7432967|7433097|7432969
28147;7432916|7433011|7432879
28148;7432911|7432997|7433072
28149;7433064|7432930|7432888
28150;7432973|7433033|7432909
28151;7433079|7432877|7432866
28152;7432909|7433088|7433035
28153;7433003|7433050|7432969
28154;7432973|7432903|7432957
28155;7432972|7432918|7433050
28156;7433113|7432985|7432960
28157;7432968|7433024|7432906
28158;7433052|7433070|7433085
28159;7432865|7432924|7432939
28160;7433035|7432936|7432879
28161;7432892|7433069|7433008
28162;7432972|7433001|7432897
28163;7433055|7433047|7432980
28164;7433039|7432889|7433081
28165;7433100|7433105|7433026
28166;7433039|7432905|7433048
28167;7433034|7432873|7432868
28168;7433027|7433097|7433066
28169;7433011|7432915|7433061
28170;7432878|7433038|7433094
28171;7432922|7432989|7432952
28172;7433100|7433058|7432878
28173;7432912|7433044|7433030
28174;7432865|7432969|7433025
28175;7432927|7432955|7432952
28176;7432872|7433033|7433097
28177;7432893|7432890|7433078
28178;7432904|7432946|7432963
28179;7432873|7432870|7432971
28180;7432934|7432954|7432945
28181;7432873|7432870|7433087
28182;7432870|7433050|7433007
28183;7432891|7432979|7432922
28184;7433075|7433022|7433083
28185;7432894|7432899|7433011
28186;7432959|7432983|7432893
28187;7432895|7433044|7432969
28188;7433081|7433041|7432980
28189;7433031|7432977|7433006
28190;7432966|7432901|7432971
28191;7433086|7432948|7432939
28192;7432895|7433019|7432997
28193;7432934|7432983|7432904
28194;7433087|7433003|7432933
28195;7432918|7433084|7432973
28196;7433110|7432963|7432931
28197;7433077|7433039|7432946
28198;7433043|7432892|7432947
28199;7433035|7432884|7432873
28200;7432950|7432961|7432894
28201;7432878|7432867|7432981
28202;7433069|7432964|7432883
28203;7432876|7433055|7433008
28204;7433059|7433099|7433014
28205;7433041|7433098|7432913
28206;7432923|7433032|7433050
28207;7432873|7433074|7433017
28208;7433053|7433021|7432983
28209;7433087|7432903|7432924
28210;7432895|7432876|7433068
28211;7432879|7433025|7433078
28212;7433012|7433017|7432983
28213;7433085|7432921|7432933
28214;7432943|7432911|7432902
28215;7432865|7432981|7433059
28216;7433070|7432874|7432892
28217;7432927|7432990|7432958
28218;7432915|7433000|7433032
28219;7432959|7432870|7432934
28220;7433064|7433067|7433070
28221;7432993|7432913|7432912
28222;7433092|7433101|7433041
28223;7433058|7432903|7432931
28224;7432958|7432983|7432916
28225;7432961|7432928|7432962
28226;7433017|7432937|7433091
28227;7433113|7432958|7433048
28228;7433089|7433091|7433032
28229;7433058|7433040|7433063
28230;7433111|7432975|7433072
28231;7432961|7432975|7432906
28232;7432972|7433111|7433106
28233;7432941|7433033|7433001
28234;7432931|7432945|7433038
28235;7433061|7432965|7433088
28236;7433070|7432914|7433073
28237;7433024|7432974|7432904
28238;7432921|7432935|7432892
28239;7433097|7432946|7433058
28240;7433056|7433088|7433083
28241;7433070|7432914|7432981
28242;7432903|7432928|7432986
28243;7433067|7432945|7432908
28244;7433022|7433088|7432944
28245;7432886|7432927|7432875
28246;7432917|7433064|7432968
28247;7433080|7433084|7433111
28248;7433078|7433022|7433004
28249;7432995|7432882|7433038
28250;7433006|7432871|7433008
28251;7433100|7432984|7432875
28252;7432939|7432922|7432995
28253;7432948|7432875|7432938
28254;7432943|7433007|7433075
28255;7432899|7433023|7433100
28256;7432931|7432897|7432934
28257;7432875|7432935|7433034
28258;7433032|7432943|7432891
28259;7433074|7432874|7432908
28260;7432914|7432995|7432994
28261;7433045|7433111|7432878
28262;7432907|7432866|7433047
28263;7433085|7433056|7432892
28264;7432937|7432889|7433037
28265;7432926|7432981|7432936
28266;7433070|7432928|7433078
28267;7432896|7433043|7432972
28268;7432973|7432984|7432995
28269;7433040|7433088|7432993
28270;7432932|7432890|7433076
28271;7432991|7433048|7432973
28272;7433012|7432946|7432889
28273;7433050|7433085|7432935
28274;7433091|7432890|7432901
28275;7432938|7433000|7432962
28276;7432890|7433100|7433005
28277;7432989|7433107|7433045
28278;7432995|7432903|7432935
28279;7432930|7432869|7433058
28280;7432954|7432961|7432925
28281;7432996|7432931|7432908
28282;7432977|7433046|7433066
28283;7433026|7432953|7432988
28284;7433089|7432889|7432958
28285;7433050|7432944|7432938
28286;7432955|7433042|7432933
28287;7432944|7433056|7432895
28288;7432889|7433013|7433099
28289;7432913|7433016|7432903
28290;7432971|7433031|7433069
28291;7433093|7433091|7432936
28292;7432904|7433075|7433016
28293;7432972|7433001|7432994
28294;7432955|7433080|7433005
28295;7432889|7432871|7432987
28296;7432895|7432973|7433012
